company	id	M1_num_clusters	M2_num_clusters	M1_num_remote_clusters	M2_num_remote_clusters	M1_HQ_state	M1_HQ_country	M1_HQ_coordinates	M2_HQ_state	M2_HQ_country	M2_HQ_coordinates	HQ1-HQ2_distance	average_cluster_distance	median_cluster_distance	sd	pairs
ltx credence	fae0d335-4189-71e6-b2af-99b9ce6639d4	1	1	0	0	CA	US	(37.8503, -122.0311)	CA	US	(37.8503, -122.0311)	0.0	0.0	0.0	N/A	((37.8503, -122.0311)-('37.8503', '-122.0311'))
wilex	31ae34b1-ce26-eb53-2d83-3e83bfd1e524	1	1	0	0	TX	US	(29.4239, -98.4933)	TX	US	(29.4239, -98.4933)	0.0	0.0	0.0	N/A	((29.4239, -98.4933)-('29.4239', '-98.4933'))
azbil corp	18559d45-1d43-6e73-b186-a42d27c85802	1	1	0	0	AZ	US	(32.2217, -110.9258)	AZ	US	(32.2217, -110.9258)	0.0	0.0	0.0	N/A	((32.2217, -110.9258)-('32.2217', '-110.9258'))
parker hannifin	3d934282-bdd8-b5ad-ff8a-3d56a5c11ccd	4	4	3	3		GB	(54.9881, -1.6194)		GB	(54.9881, -1.6194)	0.0	0.0	0.0	0.0	((54.9881, -1.6194)-('54.9881', '-1.6194')); ((48.0242, -1.7459)-('48.0242', '-1.7459')); ((50.8, -0.5333)-('50.8', '-0.5333')); ((45.0106, -93.4553)-('45.0106', '-93.4553'))
novozymes	d4a0bf9b-1d80-24b8-da7b-a7511c5e710a	4	4	3	3		CA	(52.3167, -106.5667)		GB	(52.5516, -0.3042)	6492.141330788794	0.0	0.0	0.0	((52.3167, -106.5667)-('52.3167', '-106.5667')); ((52.5516, -0.3042)-('52.5516', '-0.3042')); ((55.2083, -2.0784)-('55.2083', '-2.0784')); ((55.7235, 12.4404)-('55.7235', '12.4404'))
biomarin pharmaceutical	ca12fed3-b728-e054-2b57-0061062e8f0e	1	1	0	0	CA	US	(32.9628, -117.035)	CA	US	(32.9628, -117.035)	0.0	0.0	0.0	N/A	((32.9628, -117.035)-('32.9628', '-117.035'))
merck & co., inc.	2f9b212a-d3aa-a8c2-6317-516127c8ba88	22	22	21	21	NJ	US	(40.6408, -74.3839)	NJ	US	(40.6408, -74.3839)	0.0	0.0	0.0	0.0	((40.6408, -74.3839)-('40.6408', '-74.3839')); ((42.375, -71.1061)-('42.375', '-71.1061')); ((32.7153, -117.1564)-('32.7153', '-117.1564')); ((52.0907, 5.1214)-('52.0907', '5.1214')); ((37.4419, -122.1419)-('37.4419', '-122.1419')); ((40.1703, -77.6775)-('40.1703', '-77.6775')); ((45.8231, 4.8675)-('45.8231', '4.8675')); ((48.7759, 2.5489)-('48.7759', '2.5489')); ((31.3559, 121.5727)-('31.3559', '121.5727')); ((12.9833, 77.5833)-('12.9833', '77.5833')); ((38.0292, -78.4769)-('38.0292', '-78.4769')); ((47.8554, -121.971)-('47.8554', '-121.971')); ((41.52, -81.5564)-('41.52', '-81.5564')); ((36.0528, -92.6469)-('36.0528', '-92.6469')); ((47.5276, 7.3379)-('47.5276', '7.3379')); ((32.5769, -80.1708)-('32.5769', '-80.1708')); ((29.7631, -95.3631)-('29.7631', '-95.3631')); ((33.9922, -86.1492)-('33.9922', '-86.1492')); ((47.4968, 19.0324)-('47.4968', '19.0324')); ((44.6402, -93.1435)-('44.6402', '-93.1435')); ((52.1167, 0.15)-('52.1167', '0.15')); ((39.9042, 116.4074)-('39.9042', '116.4074'))
silverback enterprise group, inc.	1d172d09-3605-3512-e3bd-9fed80ea9b5c	1	1	0	0	MD	US	(39.4336, -76.3581)	MD	US	(39.4336, -76.3581)	0.0	0.0	0.0	N/A	((39.4336, -76.3581)-('39.4336', '-76.3581'))
novellus systems	f78eb90a-f331-2a9f-a9c8-319f233552c7	1	1	0	0	AZ	US	(33.5092, -111.8983)	AZ	US	(33.5092, -111.8983)	0.0	0.0	0.0	N/A	((33.5092, -111.8983)-('33.5092', '-111.8983'))
parametric technology (ptc)	4d589284-bbb1-c178-8d14-58a2f0b9df77	1	1	0	0		KR	(37.5985, 126.9783)		KR	(37.5985, 126.9783)	0.0	0.0	0.0	N/A	((37.5985, 126.9783)-('37.5985', '126.9783'))
electronics for imaging	90ef4c4d-fb96-ec16-69ed-7571ee0034bd	5	5	4	4	CA	US	(37.5631, -122.3244)	CA	US	(37.5631, -122.3244)	0.0	0.0	0.0	0.0	((37.5631, -122.3244)-('37.5631', '-122.3244')); ((43.5278, -71.4708)-('43.5278', '-71.4708')); ((44.8042, -93.1667)-('44.8042', '-93.1667')); ((42.3683, -83.3528)-('42.3683', '-83.3528')); ((43.1392, -77.2725)-('43.1392', '-77.2725'))
core laboratories	9fbc33be-331f-403a-906a-368fff1e8936	2	2	1	1	TX	US	(32.7253, -97.3206)	TX	US	(32.7253, -97.3206)	0.0	0.0	0.0	N/A	((32.7253, -97.3206)-('32.7253', '-97.3206')); ((30.2356, -92.0944)-('30.2356', '-92.0944'))
avs group	21b6e462-792d-fd4f-3fba-fcbdc4de2388	1	1	0	0		JP	(35.685, 139.7514)		JP	(35.685, 139.7514)	0.0	0.0	0.0	N/A	((35.685, 139.7514)-('35.685', '139.7514'))
