cluster_id	company_id	company	patent_id	local_radius	remote_radius	number_of_inventors	locations	center_lat	center_lng	state	country	geographical_relationship	haversine_distance_to_local
128	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7702397	70	70	2	(42.4183 -71.1067); (42.7653 -71.4681)	42.4183	-71.1067	MA	US	domestic	N/A
129	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7702495	70	70	2	(40.1672 -105.1014); (40.015 -105.27)	40.1672	-105.1014	CO	US	domestic	N/A
130	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7702495	70	70	1	(42.3583 -71.0603)	42.3583	-71.0603	MA	US	domestic	2836.677625523815
131	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7702495	70	70	1	(35.0844 -106.6506)	35.0844	-106.6506	NM	US	domestic	581.3865419054425
132	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7708735	70	70	4	(39.7392 -104.9842); (40.1672 -105.1014); (40.015 -105.27); (40.0503 -105.0494)	39.7392	-104.9842	CO	US	domestic	N/A
133	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7708735	70	70	1	(45.5236 -122.675)	45.5236	-122.675	OR	US	domestic	1579.3405576384303
134	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7713246	70	70	2	(41.8661 -88.1069); (41.85 -87.65)	41.8661	-88.1069	IL	US	domestic	N/A
135	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7713246	70	70	2	(38.4086 -89.9919); (38.5969 -90.5092)	38.4086	-89.9919	IL	US	domestic	416.48370656687064
136	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7722247	70	70	1	(38.6008 -90.4328)	38.6008	-90.4328	MO	US	domestic	N/A
137	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7722412	70	70	2	(40.1672 -105.1014); (40.1672 -105.1014)	40.1672	-105.1014	CO	US	domestic	N/A
138	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7722573	70	70	9	(38.7975 -90.7856); (38.815 -90.9558); (38.7875 -90.6299); (38.5506 -90.3331); (38.4086 -89.9919); (38.5969 -90.5092); (38.8106 -90.6997); (38.5581 -91.0119); (38.8106 -90.6997)	38.7875	-90.6299	MO	US	domestic	N/A
139	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7722601	70	70	3	(40.0503 -105.0494); (40.015 -105.27); (40.015 -105.27)	40.0503	-105.0494	CO	US	domestic	N/A
140	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7722603	70	70	1	(40.015 -105.27)	40.015	-105.27	CO	US	domestic	N/A
141	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7722607	70	70	4	(40.2247 -105.2708); (40.1672 -105.1014); (40.015 -105.27); (40.015 -105.27)	40.2247	-105.2708	CO	US	domestic	N/A
142	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7731138	70	70	2	(38.7875 -90.6299); (38.5581 -91.0119)	38.7875	-90.6299	MO	US	domestic	N/A
143	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7731418	70	70	1	(38.5828 -90.6628)	38.5828	-90.6628	MO	US	domestic	N/A
144	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7731692	70	70	1	(41.9142 -88.3087)	41.9142	-88.3087	MO	US	domestic	N/A
145	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7731692	70	70	1	(38.7892 -90.3225)	38.7892	-90.3225	MO	US	domestic	387.09467076601817
